Author,Events,Total,technique,volume,sample,pituitary volume,bias
Hata et al 2021,1,32,LINAC,16.57,32,NR,Moderate
Tucker et al 2020,2,19,CK,3.94,19,NR,Moderate
Chen et al 2013,0,17,CK,4.30,17,NR,Moderate
Iwata et al 2011,3,100,CK,11.13,100,NR,Moderate
