Author,Events,Total,technique,sample,year,year5,bias,optic_dose,volume
Albano et al 2025,2,42,GK,42,2025,1,Moderate,7.8,2
Wei et al 2025,9,178,CK,178,2025,1,Moderate,,4.4
Dumot et al 2023,12,869,GK ,869,2023,1,Moderate,7.5,
Zhang et al 2021,5,45,GK ,45,2021,1,Moderate,6.5,4.548
Deng et al 2020,6,148,GK ,148,2020,2,Moderate,9,7.656
Tucker et al 2020,3,11,GK ,11,2020,2,Moderate,,1.4
Sun et al 2019,15,204,GK ,204,2019,2,Moderate,9,4.539
Shen et al 2018,5,41,GK,41,2018,2,Moderate,8,2.28
Zeiler et al 2013,1,47,GK,47,2013,3,Moderate,8.9,5.41
