Study,Events,Total,technique,tumor_volume,sample,year,year5,type
Albano et al 2025,42,42,GK,2.0,42,2025,1,PFS
Wei et al 2025,154,158,CK,4.4,178,2025,1,PFS
Dumot et al 2023,849,869,GK,,869,2023,1,PFS
Zhang et al 2021,43,45,GK,4.548,45,2021,1,PFS
Deng et al 2020,135,148,GK,7.656,148,2020,2,PFS
Sun et al 2019,198,204,GK,4.539,204,2019,2,PFS
